no,scenario,video_id,yielding,eHMIOn,distPed,p1,p2,camera,group,video_length
102,todo,video_102,0,1,9,1,0,1,2,10000
103,todo,video_103,0,1,10,1,0,1,2,10000
104,todo,video_104,1,1,1,1,0,1,2,10000
105,todo,video_105,1,1,2,1,0,1,2,10000
106,todo,video_106,1,1,3,1,0,1,2,10000
107,todo,video_107,1,1,4,1,0,1,2,10000
108,todo,video_108,1,1,5,1,0,1,2,10000
109,todo,video_109,1,1,6,1,0,1,2,10000
110,todo,video_110,1,1,7,1,0,1,2,10000
111,todo,video_111,1,1,8,1,0,1,2,10000
112,todo,video_112,1,1,9,1,0,1,2,10000
113,todo,video_113,1,1,10,1,0,1,2,10000
114,todo,video_114,2,1,1,1,0,1,2,10000
115,todo,video_115,2,1,2,1,0,1,2,10000
116,todo,video_116,2,1,3,1,0,1,2,10000
117,todo,video_117,2,1,4,1,0,1,2,10000
118,todo,video_118,2,1,5,1,0,1,2,10000
119,todo,video_119,2,1,6,1,0,1,2,10000
120,todo,video_120,2,1,7,1,0,1,2,10000
121,todo,video_121,2,1,8,1,0,1,2,10000
122,todo,video_122,2,1,9,1,0,1,2,10000
123,todo,video_123,2,1,10,1,0,1,2,10000
124,tutorial - 0 - 3rd view,video3rd_0,0,1,0,1,0,2,3,10000
125,tutorial - 1 - 3rd view,video3rd_1,0,0,0,1,0,2,3,10000
126,tutorial - 2 - 3rd view,video3rd_2,1,1,0,1,0,2,3,10000
127,tutorial - 3 - 3rd view,video3rd_3,1,0,0,1,0,2,3,10000
128,todo,video3rd_4,0,0,1,1,1,2,3,10000
129,todo,video3rd_5,0,0,2,1,1,2,3,10000
130,todo,video3rd_6,0,0,3,1,1,2,3,10000
131,todo,video3rd_7,0,0,4,1,1,2,3,10000
132,todo,video3rd_8,0,0,5,1,1,2,3,10000
133,todo,video3rd_9,0,0,6,1,1,2,3,10000
134,todo,video3rd_10,0,0,7,1,1,2,3,10000
135,todo,video3rd_11,0,0,8,1,1,2,3,10000
136,todo,video3rd_12,0,0,9,1,1,2,3,10000
137,todo,video3rd_13,0,0,10,1,1,2,3,10000
138,todo,video3rd_14,1,0,1,1,1,2,3,10000
139,todo,video3rd_15,1,0,2,1,1,2,3,10000
140,todo,video3rd_16,1,0,3,1,1,2,3,10000
141,todo,video3rd_17,1,0,4,1,1,2,3,10000
142,todo,video3rd_18,1,0,5,1,1,2,3,10000
143,todo,video3rd_19,1,0,6,1,1,2,3,10000
144,todo,video3rd_20,1,0,7,1,1,2,3,10000
145,todo,video3rd_21,1,0,8,1,1,2,3,10000
146,todo,video3rd_22,1,0,9,1,1,2,3,10000
147,todo,video3rd_23,1,0,10,1,1,2,3,10000
148,todo,video3rd_24,2,0,1,1,1,2,3,10000
149,todo,video3rd_25,2,0,2,1,1,2,3,10000
150,todo,video3rd_26,2,0,3,1,1,2,3,10000
151,todo,video3rd_27,2,0,4,1,1,2,3,10000
152,todo,video3rd_28,2,0,5,1,1,2,3,10000
153,todo,video3rd_29,2,0,6,1,1,2,3,10000
154,todo,video3rd_30,2,0,7,1,1,2,3,10000
155,todo,video3rd_31,2,0,8,1,1,2,3,10000
156,todo,video3rd_32,2,0,9,1,1,2,3,10000
157,todo,video3rd_33,2,0,10,1,1,2,3,10000
158,todo,video3rd_34,0,1,1,1,1,2,3,10000
159,todo,video3rd_35,0,1,2,1,1,2,3,10000
160,todo,video3rd_36,0,1,3,1,1,2,3,10000
161,todo,video3rd_37,0,1,4,1,1,2,3,10000
162,todo,video3rd_38,0,1,5,1,1,2,3,10000
163,todo,video3rd_39,0,1,6,1,1,2,3,10000
164,todo,video3rd_40,0,1,7,1,1,2,3,10000
165,todo,video3rd_41,0,1,8,1,1,2,3,10000
166,todo,video3rd_42,0,1,9,1,1,2,3,10000
167,todo,video3rd_43,0,1,10,1,1,2,3,10000
168,todo,video3rd_44,1,1,1,1,1,2,3,10000
169,todo,video3rd_45,1,1,2,1,1,2,3,10000
170,todo,video3rd_46,1,1,3,1,1,2,3,10000
171,todo,video3rd_47,1,1,4,1,1,2,3,10000
172,todo,video3rd_48,1,1,5,1,1,2,3,10000
173,todo,video3rd_49,1,1,6,1,1,2,3,10000
174,todo,video3rd_50,1,1,7,1,1,2,3,10000
175,todo,video3rd_51,1,1,8,1,1,2,3,10000
176,todo,video3rd_52,1,1,9,1,1,2,3,10000
177,todo,video3rd_53,1,1,10,1,1,2,3,10000
178,todo,video3rd_54,2,1,1,1,1,2,3,10000
179,todo,video3rd_55,2,1,2,1,1,2,3,10000
180,todo,video3rd_56,2,1,3,1,1,2,3,10000
181,todo,video3rd_57,2,1,4,1,1,2,3,10000
182,todo,video3rd_58,2,1,5,1,1,2,3,10000
183,todo,video3rd_59,2,1,6,1,1,2,3,10000
184,todo,video3rd_60,2,1,7,1,1,2,3,10000
185,todo,video3rd_61,2,1,8,1,1,2,3,10000
186,todo,video3rd_62,2,1,9,1,1,2,3,10000
187,todo,video3rd_63,2,1,10,1,1,2,3,10000
